time_id,impl_id,n_cells,factor,n_threads,runtime
time_apply,sparse_band_matrix,357911000,710,1,5.885843879077584
time_routine,sparse_band_matrix,357911000,710,1,20.79187855822966
time_apply,sparse_csr_matrix,357911000,710,1,9.427681680303067
time_routine,sparse_csr_matrix,357911000,710,1,59.3477984550409
time_apply,linear_stencil,373248000,720,1,5.297575172036886
time_routine,linear_stencil,373248000,720,1,6.625338735990226
time_apply,sparse_band_matrix,373248000,720,1,6.141283389180899
time_routine,sparse_band_matrix,373248000,720,1,21.35526924300939
time_apply,sparse_csr_matrix,373248000,720,1,9.950452500022948
time_routine,sparse_csr_matrix,373248000,720,1,61.63296597264707
time_apply,linear_stencil,389017000,730,1,5.547282016836107
time_routine,linear_stencil,389017000,730,1,6.962434086948633
time_apply,sparse_band_matrix,389017000,730,1,6.412571433000267
time_routine,sparse_band_matrix,389017000,730,1,22.32685561012477
time_apply,sparse_csr_matrix,389017000,730,1,10.31641554459929
time_routine,sparse_csr_matrix,389017000,730,1,63.39990383479744
time_apply,linear_stencil,405224000,740,1,5.793887170031667
time_routine,linear_stencil,405224000,740,1,7.29812601627782
time_apply,sparse_band_matrix,405224000,740,1,6.708048357162625
time_routine,sparse_band_matrix,405224000,740,1,23.40241736592725
time_apply,sparse_csr_matrix,405224000,740,1,10.68998369714245
time_routine,sparse_csr_matrix,405224000,740,1,67.93974243523553
time_apply,linear_stencil,421875000,750,1,6.042260403744876
time_routine,linear_stencil,421875000,750,1,7.707783357705921
time_apply,sparse_band_matrix,421875000,750,1,6.941510199103504
time_routine,sparse_band_matrix,421875000,750,1,24.36916508805007
time_apply,sparse_csr_matrix,421875000,750,1,11.14491447899491
time_routine,sparse_csr_matrix,421875000,750,1,70.18363281898201
time_apply,linear_stencil,438976000,760,1,6.308395943138748
