time_id,impl_id,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
time_apply,linear_stencil_tiling,128,32,93751390000,73247290000,14060600000,81886250000,19871280000,3097555000,31.1687,39.8960,3007.7015,5.8238,19871280000,1.4133,3097555000,0.2203,0.1559
time_apply,linear_stencil_tiling,128,64,89418590000,71252300000,13587140000,77505440000,18307180000,2270544000,30.3197,38.0539,2948.8850,5.7043,18307180000,1.3474,2270544000,0.1671,0.1240
time_apply,linear_stencil_tiling,128,128,78362440000,62240070000,13350400000,65703270000,17144110000,1767798000,26.4852,33.3458,2958.7260,4.9214,17144110000,1.2842,1767798000,0.1324,0.1031
time_apply,linear_stencil_tiling,128,256,59648410000,47166140000,13232020000,48095960000,16297490000,1403904000,20.0705,25.3824,2971.9049,3.6348,16297490000,1.2317,1403904000,0.1061,0.0861
time_apply,linear_stencil_tiling,128,512,49294380000,39454870000,13172830000,37442100000,15866940000,1193138000,16.7883,20.9784,2935.7748,2.8424,15866940000,1.2045,1193138000,0.0906,0.0752
time_apply,linear_stencil_tiling,128,1024,41213880000,33164750000,13143230000,29543990000,15380410000,814996300,14.1125,17.5379,2920.3274,2.2478,15380410000,1.1702,814996300,0.0620,0.0530
time_apply,linear_stencil_tiling,128,2048,37838220000,30542780000,13128440000,26285390000,15169590000,694970600,12.9970,16.1015,2911.3053,2.0022,15169590000,1.1555,694970600,0.0529,0.0458
time_apply,linear_stencil_tiling,128,4096,37071030000,29728650000,13121040000,25486990000,15109610000,653264600,12.6494,15.7753,2930.3365,1.9425,15109610000,1.1516,653264600,0.0498,0.0432
time_apply,linear_stencil_tiling,128,8192,35142680000,28647670000,13117340000,24242520000,15053640000,624422700,12.1920,14.9543,2882.7904,1.8481,15053640000,1.1476,624422700,0.0476,0.0415
time_apply,linear_stencil_tiling,128,16384,36928070000,29566580000,13115490000,25590380000,15095470000,668282700,12.5965,15.7141,2935.0968,1.9512,15095470000,1.1510,668282700,0.0510,0.0443
time_apply,linear_stencil_tiling,128,32768,37713080000,30121670000,13114570000,26021770000,15060530000,668193200,12.8176,16.0482,2942.2479,1.9842,15060530000,1.1484,668193200,0.0510,0.0444
time_apply,linear_stencil_tiling,128,65536,36063740000,29359870000,13114100000,24938850000,15024750000,644652500,12.4937,15.3468,2886.4855,1.9017,15024750000,1.1457,644652500,0.0492,0.0429
